ain,address,useType,taxStatus,parcelStatus,yearBuilt,beds,baths,bldg,lot,assessed,lastBuyRec,lastBuyPrice,lastBuyDoc,hasFcHist
8448-027-002,"1111 CAMINO DEL SUR, SAN DIMAS CA 91773-4403","Single Family Residence",CURRENT,DELETED,1969,5,3,2526,15978,0,05/17/2007,869000,1203005,false
8448-027-003,"1135 CAMINO DEL SUR, SAN DIMAS CA 91773-4403","Single Family Residence",CURRENT,ACTIVE,1969,4,3,2118,12902,993633,06/01/2017,765007,0607769,false
8448-027-004,"1149 CAMINO DEL SUR, SAN DIMAS CA 91773-4403","Single Family Residence",CURRENT,ACTIVE,1969,5,3,2671,11238,287856,,,,false
8448-027-005,"1159 CAMINO DEL SUR, SAN DIMAS CA 91773-4403","Single Family Residence",CURRENT,ACTIVE,1969,5,3,3044,10835,1053575,03/31/2017,890000,0358588,false
8448-027-006,"1169 CAMINO DEL SUR, SAN DIMAS CA 91773-4403","Single Family Residence",CURRENT,ACTIVE,1967,4,3,2442,17145,781474,07/12/2013,625006,1026230,false
8448-027-007,"1177 CAMINO DEL SUR, SAN DIMAS CA 91773-4403","Single Family Residence",CURRENT,ACTIVE,1967,3,2,1797,18514,887494,11/03/2004,593005,2848245,false
8448-027-008,"1205 CAMINO DEL SUR, SAN DIMAS CA 91773-4405","Single Family Residence",CURRENT,ACTIVE,1967,3,3,2112,16931,674334,11/18/2003,549000,3473131,false
8448-027-009,"1215 CAMINO DEL SUR, SAN DIMAS CA 91773-4405","Single Family Residence",CURRENT,ACTIVE,1967,3,3,1903,14956,702717,05/29/2009,535005,0800606,false
8448-027-010,"1225 CAMINO DEL SUR, SAN DIMAS CA 91773-4405","Single Family Residence",CURRENT,ACTIVE,1967,4,3,2442,10972,994197,03/06/2019,850000,0197684,false
8448-027-011,"1235 CAMINO DEL SUR, SAN DIMAS CA 91773-4405","Single Family Residence",CURRENT,ACTIVE,1967,4,3,2216,10405,916856,11/30/2017,790000,1381326,false
8448-027-012,"1245 CAMINO DEL SUR, SAN DIMAS CA 91773-4405","Single Family Residence",CURRENT,ACTIVE,1967,3,2,1845,10829,296259,,,,false
8448-027-013,"1250 VIA DEL SOL, SAN DIMAS CA 91773-4416","Single Family Residence",CURRENT,ACTIVE,1969,4,3,2328,15508,659919,08/10/2010,505000,1105117,false
8448-027-014,"1236 VIA DEL SOL, SAN DIMAS CA 91773-4416","Single Family Residence",CURRENT,ACTIVE,1967,4,3,2592,23098,720884,07/19/2002,448004,1678487,false
8448-027-015,"1232 VIA DEL SOL, SAN DIMAS CA 91773-4416","Single Family Residence",CURRENT,ACTIVE,1965,3,3,2765,11400,984731,04/11/2008,735007,0628670,false
8448-027-016,"1222 VIA DEL SOL, SAN DIMAS CA 91773-4416","Single Family Residence",CURRENT,ACTIVE,1965,5,3,2669,10771,1154843,12/15/2023,1110011,0880572,false
8448-027-017,"1214 VIA DEL SOL, SAN DIMAS CA 91773-4416","Single Family Residence",CURRENT,ACTIVE,1965,4,3,2442,11579,694305,07/31/2002,470004,1785965,false
8448-027-018,"1208 VIA DEL SOL, SAN DIMAS CA 91773-4416","Single Family Residence",CURRENT,ACTIVE,1969,3,2,1936,17327,1045418,01/09/2006,750007,0043038,false
8448-027-019,"1202 VIA DEL SOL, SAN DIMAS CA 91773-4416","Single Family Residence",CURRENT,ACTIVE,1965,4,3,2132,15065,611564,01/22/2013,487004,0099583,false
8448-027-020,",","Vacant Land",CURRENT,DELETED,,,,,,0,01/28/1988,1000000,0125226,false
8448-027-021,",","Vacant Land",CURRENT,DELETED,,,,,,0,,,,false
8448-027-022,",","Vacant Land",CURRENT,DELETED,,,,,,0,,,,false
8448-027-023,",","Vacant Land",CURRENT,DELETED,,,,,,0,,,,false
8448-027-024,",","Vacant Land",CURRENT,DELETED,,,,,152244,0,,,,false
8448-027-025,",","Vacant Land",CURRENT,ACTIVE,,,,,127298,9,01/28/1988,1000010,0125226,false
8448-027-026,",","Vacant Land",CURRENT,DELETED,,,,,,0,,,,false
8448-027-027,",","Vacant Land",CURRENT,DELETED,,,,,,0,,,,false
8448-027-028,",","Vacant Land",CURRENT,DELETED,,,,,,0,,,,false
8448-027-029,",","Vacant Land",CURRENT,DELETED,,,,,,0,,,,false
8448-027-030,",","Vacant Land",CURRENT,DELETED,,,,,,0,,,,false
8448-027-031,",","Vacant Land",CURRENT,ACTIVE,,,,,4025,9,01/28/1988,1000010,0125226,false
8448-027-032,",","Vacant Land",CURRENT,DELETED,,,,,,0,,,,false
8448-027-033,",","Vacant Land",CURRENT,DELETED,,,,,,0,,,,false
8448-027-034,",","Vacant Land",CURRENT,ACTIVE,,,,,149947,3,,,,false
8448-027-035,"1111 CAMINO DEL SUR, SAN DIMAS CA 91773-4403","Single Family Residence",CURRENT,ACTIVE,1969,5,3,2526,18446,1099950,04/09/2021,1010010,0562684,false
